Mexican Restaurant,429
Coffee Shop,387
Fast Food Restaurant,264
Pizza Place,247
Convenience Store,197
Sandwich Place,192
Burger Joint,189
Park,187
Café,185
Chinese Restaurant,183
Grocery Store,174
Bakery,162
American Restaurant,158
Korean Restaurant,151
Food Truck,147
Clothing Store,131
Trail,130
Pharmacy,128
Liquor Store,121
Restaurant,113
Italian Restaurant,111
Bar,109
Thai Restaurant,109
Hotel,102
Taco Place,100
Seafood Restaurant,99
Donut Shop,98
Ice Cream Shop,97
Gym / Fitness Center,89
Japanese Restaurant,89
Asian Restaurant,87
Sushi Restaurant,86
Art Gallery,83
Cosmetics Shop,80
Gym,80
Fried Chicken Joint,80
Bank,78
Juice Bar,73
Food,73
Furniture / Home Store,71
Spa,68
Intersection,66
Mobile Phone Shop,63
Mediterranean Restaurant,63
Breakfast Spot,62
Dessert Shop,55
Pet Store,54
Shoe Store,53
Music Venue,52
Video Store,52
Vegetarian / Vegan Restaurant,51
Diner,50
Deli / Bodega,49
Theater,49
Cocktail Bar,49
Discount Store,49
Latin American Restaurant,48
Boutique,47
Gift Shop,44
Gas Station,42
Department Store,42
Yoga Studio,41
Thrift / Vintage Store,39
Rental Car Location,39
BBQ Joint,39
New American Restaurant,39
Bookstore,37
Lounge,37
Shopping Mall,36
Shipping Store,36
French Restaurant,36
Movie Theater,35
Vietnamese Restaurant,34
Supermarket,34
Arts & Crafts Store,34
Theme Park Ride / Attraction,33
Indian Restaurant,32
Museum,32
Playground,30
Bubble Tea Shop,30
Wine Bar,29
Motel,29
Zoo Exhibit,28
Steakhouse,28
Sporting Goods Shop,28
Salon / Barbershop,27
Scenic Lookout,27
Theme Park,27
Wings Joint,26
Men's Store,26
Video Game Store,25
Farmers Market,25
Nightclub,25
Performing Arts Venue,24
Tea Room,24
Middle Eastern Restaurant,24
Optical Shop,24
Accessories Store,24
Smoke Shop,23
Light Rail Station,23
Market,22
Home Service,22
Flower Shop,22
Southern / Soul Food Restaurant,22
Hardware Store,22
Ramen Restaurant,22
