,# of Venues,# of Venues With Next,Total # of Next Venues,Next Category #1,Pct. #1,Next Category #2,Pct. #2,Next Category #3,Pct. #3,Next Category #4,Pct. #4,Next Category #5,Pct. #5
American Restaurant,154,102,399.0,Coffee Shop,6.804374240583232,Shopping Mall,6.287970838396112,Bar,4.890643985419198,Grocery Store,4.526123936816525,Ice Cream Shop,3.7059538274605104
Art Gallery,87,46,156.0,Art Gallery,24.69418960244648,Bar,6.804281345565749,Art Museum,5.581039755351682,Garden,2.90519877675841,Gastropub,2.7522935779816513
Art Museum,20,14,59.0,Art Museum,28.39248434237996,Coffee Shop,11.482254697286013,Sculpture Garden,7.306889352818372,New American Restaurant,6.8893528183716075,Historic Site,6.8893528183716075
Arts & Crafts Store,32,18,72.0,Shopping Mall,10.97972972972973,Coffee Shop,6.25,Bookstore,4.5608108108108105,Flower Shop,4.391891891891892,Furniture / Home Store,4.391891891891892
Asian Restaurant,90,36,114.0,Coffee Shop,12.629399585921325,Bubble Tea Shop,8.281573498964804,Dessert Shop,7.142857142857143,Grocery Store,7.142857142857143,Ice Cream Shop,6.832298136645963
BBQ Joint,36,20,73.0,Dessert Shop,6.873977086743044,Ice Cream Shop,6.546644844517185,Coffee Shop,5.8919803600654665,Café,5.400981996726678,Shopping Mall,3.927986906710311
Bakery,149,73,242.0,Coffee Shop,11.061946902654867,Shopping Mall,8.013765978367749,Grocery Store,6.243854473942969,Bakery,4.670599803343166,Café,4.572271386430678
Bank,69,47,159.0,Grocery Store,15.275707898658718,Coffee Shop,13.561847988077496,Pharmacy,9.01639344262295,Supermarket,8.71833084947839,Shopping Mall,6.929955290611028
Bar,116,97,413.0,Bar,19.037719037719036,Gastropub,4.514404514404514,Cocktail Bar,4.2174042174042174,Mexican Restaurant,3.2967032967032965,Lounge,3.267003267003267
Big Box Store,15,15,66.0,Grocery Store,17.04119850187266,Coffee Shop,12.172284644194757,Shopping Mall,10.299625468164795,Supermarket,5.992509363295881,Pharmacy,5.617977528089888
Bookstore,32,22,88.0,Movie Theater,6.336088154269972,Record Shop,6.336088154269972,Coffee Shop,5.509641873278237,Bookstore,4.545454545454546,Shopping Mall,4.2699724517906334
Boutique,48,28,99.0,Clothing Store,15.012106537530267,Boutique,11.2590799031477,Coffee Shop,8.958837772397095,Men's Store,6.416464891041162,Shoe Store,6.416464891041162
Breakfast Spot,57,42,172.0,Coffee Shop,19.701280227596015,Shopping Mall,10.170697012802275,Grocery Store,6.2588904694167855,Big Box Store,4.480796586059744,Movie Theater,3.9829302987197726
Brewery,17,17,80.0,Brewery,27.24458204334365,Bar,12.38390092879257,German Restaurant,4.798761609907121,Mexican Restaurant,4.3343653250774,Cocktail Bar,3.869969040247678
Bubble Tea Shop,28,18,58.0,Shopping Mall,9.795918367346939,Bakery,7.959183673469388,Korean Restaurant,7.346938775510204,Shoe Store,7.346938775510204,Plaza,7.142857142857143
Burger Joint,183,82,296.0,Coffee Shop,8.913308913308914,Big Box Store,7.326007326007326,Movie Theater,6.064306064306065,Shopping Mall,5.942205942205942,Grocery Store,5.128205128205129
Café,195,98,364.0,Shopping Mall,9.126984126984127,Coffee Shop,7.076719576719577,Grocery Store,4.298941798941799,Bakery,3.935185185185185,Café,2.9761904761904763
Candy Store,17,11,45.0,Movie Theater,9.264305177111716,Shopping Mall,9.264305177111716,Farmers Market,7.901907356948229,Theme Park Ride / Attraction,6.8119891008174385,Shopping Plaza,5.177111716621253
Chinese Restaurant,166,95,297.0,Bubble Tea Shop,12.385503783353245,Tea Room,9.79689366786141,Plaza,6.013540422142572,Coffee Shop,5.535643170051772,Grocery Store,5.296694544006372
Clothing Store,124,76,317.0,Clothing Store,20.902429618202852,Department Store,5.90050134978789,Shopping Mall,5.823370613189356,Big Box Store,5.283455456999614,Coffee Shop,4.627844195912071
Cocktail Bar,51,44,184.0,Bar,19.269102990033222,Cocktail Bar,7.3754152823920265,American Restaurant,5.4485049833887045,Burger Joint,3.9867109634551494,Diner,3.3222591362126246
Coffee Shop,375,243,923.0,Shopping Mall,7.857049008014716,Grocery Store,6.595716725791617,Big Box Store,4.1518854289843645,Supermarket,2.8905531467612664,Bookstore,2.364998029168309
Comedy Club,16,14,59.0,Bar,12.734864300626304,Comedy Club,10.647181628392484,Diner,7.306889352818372,Café,7.09812108559499,American Restaurant,6.680584551148225
Concert Hall,15,11,45.0,Bar,12.5,American Restaurant,6.25,Mexican Restaurant,5.978260869565218,Coffee Shop,5.978260869565218,Art Museum,5.163043478260869
Convenience Store,190,67,193.0,Fast Food Restaurant,13.126491646778042,Supermarket,7.6968973747016705,Grocery Store,7.100238663484487,Pharmacy,5.847255369928401,Coffee Shop,4.05727923627685
Cosmetics Shop,80,37,121.0,Shopping Mall,14.033366045142296,Coffee Shop,11.383709519136408,Clothing Store,9.028459273797841,Department Store,6.673209028459274,Big Box Store,5.4955839057899905
Deli / Bodega,42,14,42.0,Coffee Shop,19.2090395480226,Shopping Mall,7.062146892655368,Grocery Store,7.062146892655368,Art Museum,6.214689265536723,Comedy Club,5.649717514124294
Department Store,42,26,106.0,Shopping Mall,14.71264367816092,Department Store,11.954022988505747,Clothing Store,8.620689655172415,Big Box Store,7.816091954022989,Grocery Store,6.206896551724138
Dessert Shop,52,34,116.0,Bubble Tea Shop,6.960081883316274,Shopping Mall,6.550665301944729,Korean Restaurant,6.448311156601842,Café,5.117707267144319,Movie Theater,4.81064483111566
