,id,category
0,5675f11f498e13b4ce1e6e36,Historic Site
1,4df43d8162e1288ed3070e0e,Nightclub
2,540b2da4498e9d0f44bfe387,Pool
3,4f5b819be4b03a6a1179dbf9,Sports Club
4,58cf68ff61052854bec79e29,Intersection
5,4b805d2ef964a5209f6b30e3,Pool
6,4b803bcef964a520305f30e3,Park
7,4e94899461afe52cf3b33af3,Playground
8,4abe708cf964a520968d20e3,Museum
9,4a996e1bf964a520492e20e3,Museum
10,4b5b8606f964a520960429e3,History Museum
11,4d8df4045091a1cd1e698301,Track
12,4f4933ebe4b052593b21d7e7,Sporting Goods Shop
13,524b6c8a11d2e51939fdf693,Trail
14,4da6502643a1a8b31799d87f,Tennis Court
15,50610e3ee4b073da747fa976,Baseball Field
16,4c9f64a60313370443a671d5,Dog Run
17,4c7d61146d79bfb783bf96b9,Museum
18,55c2a806498e2023f272990a,Yoga Studio
19,54b49277498ebbc0b258c37b,Bar
20,4e1f1bf0b0fbe764a4ab27e8,Gym
21,4c4f51f092ce2d7f7ba7982f,Cosmetics Shop
22,5be5c18d8afbe0002eb9526f,Fried Chicken Joint
23,4b22cd97f964a520cf4d24e3,Tea Room
24,543700df498ef88b491052a3,Bakery
25,57d2fa34498eccf6804eba5e,Restaurant
26,4ac8fd27f964a520ccbd20e3,French Restaurant
27,4b738a14f964a52039b32de3,Gym / Fitness Center
28,49c7883ff964a520ad571fe3,BBQ Joint
29,4ab84f32f964a520d87c20e3,Spa
30,4aa46c21f964a520c34620e3,Neighborhood
31,50059908e4b09f6dc7e0f618,Yoga Studio
32,59017a78666116697163cabc,Frozen Yogurt Shop
33,55fa33b2498ed94af9029c5f,Bubble Tea Shop
34,4aad9052f964a520de6020e3,Jewelry Store
35,522a299a11d24abd6f67ff97,Plaza
36,4b245209f964a520d86524e3,Argentinian Restaurant
37,4ac2c5e8f964a520af9a20e3,Italian Restaurant
38,4b05bdeef964a52027e222e3,Mediterranean Restaurant
39,5bdde5343e6741002c18197c,Coffee Shop
40,547d3183498e356dc68457f4,Sporting Goods Shop
41,51ec74a3498e969476e3b76c,Coffee Shop
42,4aff6b1ef964a5205d3822e3,Gourmet Shop
43,4cc39be8b2beb1f770ff174c,Pizza Place
44,4a22d079f964a5208e7d1fe3,Bakery
45,4f738dace4b06c4afe796dab,Coffee Shop
46,4b1b7d25f964a520a6fb23e3,Multiplex
47,505baa89e4b08ab5c19387d7,Beer Garden
48,534d867a498ee01b6f28ec6b,Hotpot Restaurant
49,4b0796b5f964a520ddfe22e3,Coffee Shop
50,4f34422be4b0ce86c01df0bf,Women's Store
51,4b157003f964a520daac23e3,Italian Restaurant
52,4b0ed5a0f964a520b25b23e3,Park
53,4d9cd998a85fd7ce9330551a,Gastropub
54,4b50b542f964a5209c2e27e3,Spa
