,index,id,category,num next,next1,next2,next3,next4,next5
0,0,4a331c91f964a520039b1fe3,Amphitheater,5.0,Observatory,Park,Lounge,Diner,Diner
1,1,4c7021e4d97fa1432119f5ca,Tennis Court,0.0,,,,,
2,2,4b1c0f5ff964a5206b0124e3,Golf Course,5.0,Observatory,Amphitheater,Café,American Restaurant,Golf Course
3,3,4a6e5d0df964a52093d41fe3,Observatory,5.0,Planetarium,Park,Trail,Movie Theater,Burger Joint
4,4,4b5b8f7df964a5202e0729e3,Planetarium,5.0,Observatory,Café,Movie Theater,Park,Trail
5,5,4b5cb3aaf964a520523f29e3,Trail,2.0,Observatory,Trail,,,
6,6,4b9a68dbf964a520feb235e3,Trail,5.0,Observatory,Scenic Lookout,Mountain,Trail,Park
7,7,4ed54cb8cc216e1a540a4a51,Trail,5.0,Trail,Trail,Park,Scenic Lookout,Trail
8,8,4b8971f7f964a520ec3632e3,Trail,5.0,Observatory,Mountain,Park,Trail,Scenic Lookout
9,9,4d98ecbd9079b1f74481370a,Trail,5.0,Observatory,Park,Amphitheater,Trail,Grocery Store
10,10,4e41f7521f6ec93e92503077,Sculpture Garden,5.0,Café,Observatory,Sculpture Garden,Park,Scenic Lookout
11,11,4bda08c33904a59356c5449e,Café,3.0,Observatory,Amphitheater,Park,,
12,12,4ce056fe78ddf04d8bcca598,Trail,3.0,Observatory,Trail,Trail,,
13,13,4e22449b1838712abe7bde44,Lounge,1.0,Amphitheater,,,,
14,14,578affaf498e703828f6e936,Amphitheater,0.0,,,,,
15,15,4e388aa2887777123dca78f0,Automotive Shop,0.0,,,,,
16,16,586828e04c5312730f2e9898,Trail,0.0,,,,,
17,17,53a73b97498e56d9917e0800,Bus Stop,0.0,,,,,
18,18,4e5186816284416669ac1183,Scenic Lookout,0.0,,,,,
19,19,53c16753498e4731c135d8e5,Hotel,0.0,,,,,
20,20,4df81aa31f6e448ec28eab27,Trail,1.0,Scenic Lookout,,,,
21,21,4db306c693a017099dba1a44,Park,0.0,,,,,
22,22,52e9040d498ee43593e096fe,Scenic Lookout,1.0,Park,,,,
23,23,55312578498e3e975d715faf,Mountain,0.0,,,,,
24,24,544289ff498eaaa9f11993d9,Park,0.0,,,,,
25,25,54260cf5498eb51b69d461eb,Trail,0.0,,,,,
26,26,4eb5b1a22c5b53141a73e28d,Historic Site,2.0,Sculpture Garden,Observatory,,,
27,27,4cd6c145b2a43704616e8644,Sculpture Garden,5.0,Observatory,Planetarium,Gift Shop,Trail,Mountain
28,28,4d7be59886cfa143058abea0,Scenic Lookout,1.0,Observatory,,,,
29,29,4f1b697ae4b04ae083232263,Exhibit,0.0,,,,,
30,30,4f71e85ae4b0be6421442557,Park,0.0,,,,,
31,31,4c71e2e20e23b1f7df9b1cdc,Gift Shop,5.0,Café,Planetarium,Movie Theater,Observatory,Sculpture Garden
32,32,4f6223b4e4b08e537e638a21,Trail,0.0,,,,,
33,33,570abebc498ec7087806efbf,Trail,0.0,,,,,
34,34,50175494e4b00714608acb45,Historic Site,0.0,,,,,
35,35,4e595b2dd22dfba6f4736866,Scenic Lookout,1.0,Observatory,,,,
36,36,54a86574498eae35a2ec157d,Athletics & Sports,0.0,,,,,
37,37,4c654f60f67ec928152f5727,Trail,0.0,,,,,
38,38,4c0715de0e0a2d7f6aecec0c,Café,5.0,Observatory,Planetarium,Gift Shop,Sculpture Garden,Scenic Lookout
39,39,4bd47d2d29eb9c7482ab91e1,Gym Pool,2.0,Shopping Mall,Pool,,,
40,40,4ea1cf8d4690104bb34af0d7,Food Truck,5.0,Art Museum,Historic Site,Exhibit,Coffee Shop,Sculpture Garden
41,41,51ddaefd498ed113d332733c,Farmers Market,3.0,Historic Site,Coffee Shop,Coffee Shop,,
42,42,4ad79983f964a5209c0c21e3,Museum,5.0,Art Museum,Historic Site,Burger Joint,Museum,Museum
43,43,4af091b4f964a5204bdd21e3,Italian Restaurant,0.0,,,,,
44,44,59051ba40f013c76258dcb92,Park,5.0,Art Museum,Museum,Science Museum,Sculpture Garden,Historic Site
45,45,514a127be4b0e8deb245118f,Food Truck,0.0,,,,,
46,46,4c5770402308be9afd4d596c,Pizza Place,0.0,,,,,
47,47,4c9bc086c5fe236aeca10f23,Playground,4.0,Coffee Shop,Historic Site,Burger Joint,Mexican Restaurant,
48,48,4de4115cd164df857521ee9e,Exhibit,5.0,Art Museum,Food Truck,Historic Site,Sculpture Garden,Farmers Market
49,49,4a5679c3f964a5203eb51fe3,Gym / Fitness Center,5.0,Supermarket,Art Museum,Grocery Store,Shopping Mall,Sculpture Garden
50,50,4a81b52af964a5204ff71fe3,Deli / Bodega,1.0,Coffee Shop,,,,
51,51,4f57d65be4b0271ffe7fbbb0,Food Truck,0.0,,,,,
52,52,524db8ec11d2310b6be53190,Resort,0.0,,,,,
53,53,4bce047d937ca5937dc5ad92,Mexican Restaurant,0.0,,,,,
54,54,4e27130fb3ad5b136f416467,Café,0.0,,,,,
55,55,4fab24ace4b0eeffb5bb1765,Moving Target,0.0,,,,,
56,56,4ae27e6ff964a520a18e21e3,Theater,0.0,,,,,
57,57,4b4b4b57f964a520b89626e3,Laundromat,0.0,,,,,
58,58,4dee898dd22deb0316f96e59,Food Truck,0.0,,,,,
59,59,4f15dba4e4b0fd2952cfbdb1,Food Truck,0.0,,,,,
60,60,5282a3b0498e1020c7c74c62,Food Truck,0.0,,,,,
61,61,5022c9fce4b010a944b84376,Food Truck,0.0,,,,,
62,62,4ae3c968f964a520f29821e3,Furniture / Home Store,5.0,Department Store,Farmers Market,Bookstore,Shopping Mall,Electronics Store
63,63,4fe64d0fe4b0176e69649f98,Art Museum,0.0,,,,,
64,64,40a6af00f964a52027f31ee3,Art Museum,5.0,Historic Site,New American Restaurant,Shopping Mall,Coffee Shop,Sculpture Garden
65,65,4dc73b0e45dd2645529da8f4,Performing Arts Venue,5.0,Art Museum,Sculpture Garden,New American Restaurant,Historic Site,Burger Joint
66,66,50afdebbe4b0f706cf58a9dd,Gift Shop,5.0,Historic Site,Sculpture Garden,Art Museum,Coffee Shop,Art Museum
67,67,4e4f1ef72271a1bdc3dadc32,Jazz Club,5.0,Art Museum,New American Restaurant,Sculpture Garden,Sculpture Garden,Historic Site
68,68,57fd725acd1020c94624df37,Vietnamese Restaurant,2.0,Art Museum,Grocery Store,,,
69,69,4ea71c949a526de96a2d5aa9,Sculpture Garden,5.0,Art Museum,Historic Site,Sculpture Garden,New American Restaurant,Farmers Market
70,70,4a9d8f81f964a5207f3820e3,Camera Store,5.0,Shopping Mall,Farmers Market,Art Museum,Grocery Store,Shopping Mall
71,71,4e1b63c2e4cdb140739422cd,Historic Site,5.0,Art Museum,Museum,Farmers Market,Burger Joint,Sculpture Garden
72,72,4ad2aeabf964a52079e220e3,Grocery Store,5.0,Shopping Mall,Farmers Market,Pharmacy,Grocery Store,Grocery Store
73,73,4dfbb7f73151a3fbbe5b7a2b,Park,5.0,Historic Site,Art Museum,Museum,Sculpture Garden,Burger Joint
74,74,56103a42498eff75a5b988ad,Cosmetics Shop,5.0,Farmers Market,Shopping Mall,Department Store,Bookstore,Clothing Store
75,75,579d1d41cd10cf6ab6a33e4d,Art Museum,5.0,Art Museum,Coffee Shop,Historic Site,Farmers Market,New American Restaurant
